REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2009-05-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.4,,,,1
2009-05-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,82.6,,,,1
2009-05-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.5,E,,,1
2009-06-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.2,,,,1
2009-06-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,82.5,,,,1
2009-06-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.3,E,,,1
2009-07-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.4,,,,1
2009-07-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,82.8,,,,1
2009-07-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.3,E,,,1
2009-08-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.5,,,,1
2009-08-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,82.9,,,,1
2009-08-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.3,E,,,1
2009-09-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,85.9,,,,1
2009-09-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,83.5,,,,1
2009-09-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.3,E,,,1
2009-10-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.1,,,,1
2009-10-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,83.8,,,,1
2009-10-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.2,E,,,1
2009-11-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.4,,,,1
2009-11-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,84.2,,,,1
2009-11-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.4,E,,,1
2009-12-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,86.7,,,,1
2009-12-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,84.7,,,,1
2009-12-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.3,E,,,1
2010-01-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.1,,,,1
2010-01-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.2,,,,1
2010-01-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.4,E,,,1
2010-02-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units,0,v111955442,1.1,87.1,,,,1
2010-02-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units,0,v111955443,1.2,85.3,,,,1
2010-02-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units,0,v111955444,1.3,91.2,E,,,1
